t,incu5_med,incu5_lower,incu5_upper,incu5_smc_med,incu5_smc_lower,incu5_smc_upper
567,8.936119873299377e-4,4.7485622919606464e-4,0.0013614630079345161,8.935832204554245e-4,4.731024001077317e-4,0.0013585505159220096
568,8.858544324113894e-4,4.6639524453462273e-4,0.0013491653533497195,8.845207561046743e-4,4.6450258526985064e-4,0.0013466386693058528
569,8.676046134946239e-4,4.5849934747413775e-4,0.001360886086353244,8.710250462979481e-4,4.5671483708697774e-4,0.0013605417077648164
570,8.560309072392049e-4,4.5105578040749656e-4,0.0013796926089593758,8.559072406835045e-4,4.4935120039369964e-4,0.0013792424613993518
571,8.581097417598555e-4,4.411266462424373e-4,0.0013981310500075167,8.582595359779425e-4,4.413089406103038e-4,0.001398032675648372
572,8.558359960181724e-4,4.2628311456451235e-4,0.0014147206037896998,8.559726720337535e-4,4.2661568387858926e-4,0.0014142977894982646
573,8.535588043681499e-4,4.1209411185872227e-4,0.0014304994029715652,8.536448568680596e-4,4.131584322810938e-4,0.0014305363229189679
574,8.516977064383618e-4,3.9952227460321086e-4,0.0014449218967993447,8.518240773027672e-4,4.002251451911573e-4,0.0014447195497852541
575,8.495365835163664e-4,3.8722932322261176e-4,0.0014583634744127784,8.495932308544049e-4,3.886086523623674e-4,0.001458113657807212
576,8.480786739931454e-4,3.7660417201125713e-4,0.0014703110316454467,8.480308452266729e-4,3.7767246472938953e-4,0.0014703152957957263
577,8.461493170745463e-4,3.669742238228711e-4,0.001481295119963293,8.463743637570134e-4,3.674477230371656e-4,0.0014809132420010851
578,8.44586765583723e-4,3.622899873633586e-4,0.001490964467005072,8.441480713843844e-4,3.6083253009232697e-4,0.0014909209466591128
579,8.4249688455975e-4,3.5891299217086464e-4,0.001497971327603604,8.42565249561585e-4,3.5882439365234953e-4,0.0014980439907229242
580,8.400531544486205e-4,3.546217527213969e-4,0.0015012780098948558,8.375958391197513e-4,3.536774516931573e-4,0.0014998847762200736
581,8.355533203224306e-4,3.520128525833819e-4,0.0015006440024029212,8.33724226178628e-4,3.5196529237639944e-4,0.0014996235631328334
582,8.315808676775448e-4,3.4858746948091413e-4,0.0014998240957232734,8.280083746146777e-4,3.485370647211515e-4,0.001497886297884712
583,8.250149146258009e-4,3.4628359507488007e-4,0.0014947700374520572,8.228032175200592e-4,3.460847144018383e-4,0.0014929166489825786
584,8.186771880769491e-4,3.4373007647366127e-4,0.0014893933976067829,8.166279612607027e-4,3.443639726379378e-4,0.0014865759348074983
585,8.144332447050295e-4,3.416680961809191e-4,0.0014793997055534047,8.134157054198309e-4,3.415363082632254e-4,0.0014767118537744937
586,8.126959971057604e-4,3.398276406739658e-4,0.0014687757038098891,8.123521942792857e-4,3.407986386243807e-4,0.0014647774331011305
587,8.109625338270068e-4,3.381557249202414e-4,0.0014535836445876869,8.099872787727569e-4,3.381691763463798e-4,0.0014501204443195094
588,8.090960787847937e-4,3.369188561322989e-4,0.0014379737776978488,8.08326625945329e-4,3.3787298761221816e-4,0.0014328997641135642
589,8.038471894615275e-4,3.3568841072784654e-4,0.0014184767820673802,8.011746308096016e-4,3.361912206623853e-4,0.0014140039876170065
590,7.971292529831165e-4,3.3468093080729367e-4,0.0013981816869122947,7.909440530294674e-4,3.350063761552917e-4,0.0013929673026325648
591,7.867342233596265e-4,3.334478506718593e-4,0.0013765714327648897,7.843614387718809e-4,3.356139245016069e-4,0.0013708707138765314
592,7.739085264674648e-4,3.3610465936927136e-4,0.0013523622893023102,7.743962651254562e-4,3.3645755845889693e-4,0.0013477182350366827
593,7.645015476227714e-4,3.3655881496828365e-4,0.0013303043467433329,7.654341446542996e-4,3.378614737681901e-4,0.0013305874124537043
594,7.560387374367165e-4,3.394883330669052e-4,0.001319220330025407,7.561792604832078e-4,3.404865280884625e-4,0.00132050969063678
595,7.646819801905164e-4,3.4067941575763463e-4,0.0013094034702329452,7.625807549115099e-4,3.413117390522561e-4,0.0013098984967387945
596,7.7282873430742e-4,3.433051825400543e-4,0.001299099253238599,7.710761074607103e-4,3.4386205976421865e-4,0.0013001094784867327
597,7.784510729042137e-4,3.446497481870862e-4,0.001289411738472196,7.787539125810924e-4,3.4571304645644783e-4,0.001290031544439922
598,7.685483856664499e-4,3.4707017129330647e-4,0.0012833275293690266,7.688089364191665e-4,3.473344508652459e-4,0.0012833207071165607
599,7.590714872290219e-4,3.4836298151544787e-4,0.001284940370218515,7.587502314104968e-4,3.496949574687926e-4,0.0012849352682822166
600,7.523816561159301e-4,3.5053134303860995e-4,0.0012864464325617888,7.520418919343551e-4,3.509651401532376e-4,0.0012864396743659115
601,7.461812488942542e-4,3.516489533434148e-4,0.001287913288687786,7.457149004881584e-4,3.5252982181822727e-4,0.0012879067477288792
602,7.459380438013025e-4,3.507705673035268e-4,0.001289246063348036,7.457813318864992e-4,3.504689382866323e-4,0.001289229511770542
603,7.45907029664411e-4,3.487107917651984e-4,0.0012907101675503102,7.463692289238378e-4,3.485840221977037e-4,0.0012907090015332617
604,7.424387981397443e-4,3.4681996461486926e-4,0.001291668167697085,7.426605646183765e-4,3.466563963714227e-4,0.0012916444732078596
605,7.379832245566164e-4,3.451950139186445e-4,0.001293340355860565,7.385692120275854e-4,3.454089960087182e-4,0.0012933200359551875
606,7.350523999025525e-4,3.470071867451871e-4,0.0012936902290264993,7.349333357451304e-4,3.471274551170966e-4,0.0012937800284615712
607,7.304064118340771e-4,3.4871613364863437e-4,0.001295306522482211,7.31222125464406e-4,3.4911921097350776e-4,0.0012952865063562203
608,7.285749489076501e-4,3.501067255942171e-4,0.0012960887941905785,7.284572254732402e-4,3.5015825202120213e-4,0.001296063317486242
609,7.244084699784241e-4,3.528105040130552e-4,0.0012960370971029545,7.242888435969044e-4,3.53112755044121e-4,0.00129623378876263
610,7.227310425248629e-4,3.5346064280208976e-4,0.0012974657436028104,7.230393399674443e-4,3.5349859493021403e-4,0.0012971442452486648
611,7.20747897313602e-4,3.5798981217279545e-4,0.0012957409014495971,7.202687783941811e-4,3.5781987733595e-4,0.001295894749756121
612,7.188955154549636e-4,3.593555807896869e-4,0.0012957604357991537,7.190562186953227e-4,3.5950988733169005e-4,0.0012955373134720882
613,7.173859529424197e-4,3.642070815687255e-4,0.0012927904019358956,7.172843920619749e-4,3.641817958010645e-4,0.001292824577416537
614,7.148168037776476e-4,3.6359440169020125e-4,0.0012907812787328371,7.146405425029682e-4,3.6289114400407196e-4,0.0012907487057244964
615,7.135022541237446e-4,3.633090793682839e-4,0.0012858989729558979,7.134691569800696e-4,3.637407095868164e-4,0.001285870432667707
616,7.101297797407699e-4,3.6272002061568973e-4,0.0012820716297926571,7.101228530984197e-4,3.622574713522417e-4,0.0012821613802283145
617,7.090088303158875e-4,3.629046609623044e-4,0.0012747748977015652,7.08454471505893e-4,3.628369833519407e-4,0.0012747498719831252
618,7.061639466324549e-4,3.609710105487669e-4,0.001264141046318933,7.093986210236012e-4,3.615338640003665e-4,0.0012650216597364344
619,7.088823879593273e-4,3.605435322486159e-4,0.0012497142554930055,7.117130715854228e-4,3.5975412670254315e-4,0.0012504036822820468
620,7.08088982144933e-4,3.5737539524547995e-4,0.0012320016023749571,7.079185031022678e-4,3.580861955414227e-4,0.001232737031596786
621,7.072271853539945e-4,3.5614947670506507e-4,0.0012162188059616766,7.073407857747872e-4,3.5624076121617274e-4,0.0012171316837331536
622,7.093780014809018e-4,3.5396686030348355e-4,0.0011969819316645985,7.087731357427129e-4,3.543399364437619e-4,0.0011975908992275799
623,7.029471854487267e-4,3.500860609564545e-4,0.0011861033971125694,7.030745603731139e-4,3.4963900397993076e-4,0.0011870526003893852
624,7.022760872790006e-4,3.463972049671121e-4,0.001185765644289312,7.024458780051043e-4,3.4615259074510216e-4,0.0011864316048447393
625,7.032996038560239e-4,3.3944439363467645e-4,0.0011852350143531198,7.034571860663507e-4,3.392584439743066e-4,0.0011858882752307938
626,7.006319624035672e-4,3.361192157203133e-4,0.001184494736309739,7.005429055166677e-4,3.359646198905999e-4,0.0011849373085124366
627,6.984477641906916e-4,3.30912398072977e-4,0.0011809151592560483,6.980981149046263e-4,3.3022906088068344e-4,0.0011809677837697067
628,6.963607759542735e-4,3.291586268801635e-4,0.001170531944373489,6.965004190497796e-4,3.278731700360868e-4,0.0011705919217663233
629,7.015400274682012e-4,3.263128075063918e-4,0.0011615822231994942,6.976767242810023e-4,3.2590145642825757e-4,0.0011616156421593942
630,6.936922698668923e-4,3.244238294108437e-4,0.0011518873830272548,6.890709895417918e-4,3.231506347548908e-4,0.0011519399152468896
631,6.898199692557784e-4,3.2206128006352695e-4,0.0011439838250943558,6.887919681939502e-4,3.216177275382051e-4,0.0011440129340313408
632,6.878631228462576e-4,3.202816202785493e-4,0.0011349674996214672,6.888167585764427e-4,3.1923222283179194e-4,0.0011350185251962055
633,6.875252038630467e-4,3.1818046497138707e-4,0.0011285237978648603,6.874576057070356e-4,3.1775661167948694e-4,0.0011285525006895299
634,6.859022156414059e-4,3.166239093182192e-4,0.0011200570739001957,6.855894135799045e-4,3.1573036052585165e-4,0.0011200881726880013
635,6.845326681917572e-4,3.1476930675059715e-4,0.0011149266035303323,6.84606962714848e-4,3.143111053952156e-4,0.0011149939704680732
