t,incu5_med,incu5_lower,incu5_upper,incu5_smc_med,incu5_smc_lower,incu5_smc_upper
590,2.1439194518292214e-4,4.718492129653418e-5,6.260760479368695e-4,2.1567417661778003e-4,4.719358629327683e-5,6.257988032472243e-4
591,2.2527147905505607e-4,4.962212075726578e-5,6.320353471440142e-4,2.276460566218883e-4,4.9407280878018784e-5,6.317813107519093e-4
592,2.3285223232150204e-4,4.9891687534193613e-05,6.374894343217544e-4,2.3485139891390815e-4,4.9080883628826154e-5,6.390763086066822e-4
593,2.387490782147216e-4,5.105947898928956e-5,6.547428742114207e-4,2.3899639465826324e-4,5.08365781616571e-5,6.525010198293578e-4
594,2.428351772790635e-4,5.159602966036172e-5,6.843381097440203e-4,2.427300698726888e-4,5.135433530070526e-5,6.828209479935209e-4
595,2.4751687550808804e-4,5.278141971153541e-5,7.141098450377109e-4,2.468608053875379e-4,5.273171088358662e-5,7.122042948551397e-4
596,2.5334408795105103e-4,5.219899833495801e-5,7.430855028465258e-4,2.5176856990196685e-4,5.19897154817516e-5,7.414988646100122e-4
597,2.5921927994696306e-4,5.0773375868203955e-5,7.717421703979005e-4,2.578899408776389e-4,5.05772817318619e-5,7.700531754205508e-4
598,2.6463178297925216e-4,4.9403250822896864e-5,7.993519108901699e-4,2.632561889074148e-4,4.921303250503717e-5,7.97816071380384e-4
599,2.7047314108664456e-4,4.8083511042712935e-5,8.257916058329526e-4,2.688081963278926e-4,4.790496511057809e-5,8.242463185437958e-4
600,2.7334261958230943e-4,4.6832889941102455e-5,8.524179105498511e-4,2.735022010203983e-4,4.666066354519062e-5,8.523401043720927e-4
601,2.8378682635078056e-4,4.563476866354646e-5,8.801322610536674e-4,2.8370835728654353e-4,4.547252742048165e-5,8.800360449731099e-4
602,2.9293267521849893e-4,4.4522860904946756e-5,9.064796031718165e-4,2.9285370165615894e-4,4.437373807984005e-5,9.06323810318419e-4
603,3.017728131286676e-4,4.344152093081104e-5,9.309824655876831e-4,3.016124882659496e-4,4.326734498619244e-5,9.308358447867963e-4
604,3.09815339735809e-4,4.2563834998030875e-5,9.545804377355986e-4,3.1019882458008366e-4,4.2460347188655426e-5,9.542465060584047e-4
605,3.160920998921479e-4,4.1608824642033274e-5,9.76289829151237e-4,3.1462067586478335e-4,4.1402002298558256e-5,9.75938744973989e-4
606,3.195083981871559e-4,4.114847418139029e-5,9.966950422307787e-4,3.202335685080577e-4,4.1077500148929745e-5,9.962889467419224e-4
607,3.219769620960517e-4,4.054827723272139e-5,0.0010132793210445527,3.2319330146829276e-4,4.0338723686813504e-5,0.0010115063810870505
608,3.246019294773308e-4,4.121881897491415e-5,0.0010275799425944348,3.2514651986396216e-4,4.0962641293593294e-5,0.001026029041901124
609,3.2713258836423987e-4,4.1563291352937844e-5,0.0010412340134778714,3.283749935860049e-4,4.172848328612849e-5,0.0010396616209804462
610,3.301800548273035e-4,4.487045533871024e-5,0.0010536479591436118,3.3099747633804575e-4,4.402183931100466e-5,0.0010518973732121708
611,3.338718293707878e-4,4.7973271711188626e-5,0.0010656275631354645,3.3620236267499156e-4,4.851245334135475e-5,0.0010634851226322545
612,3.3906453717629697e-4,5.48879334002322e-5,0.001077309112116589,3.406223713448652e-4,5.391166216883469e-5,0.001073684650556348
613,3.434774998219969e-4,6.42581691377616e-5,0.0010882420268002592,3.463244010534312e-4,6.409287395378008e-5,0.0010832428928924261
614,3.5091370980839615e-4,7.680087659941869e-5,0.001097851011802872,3.532103016971725e-4,7.503923206707104e-5,0.0010983559519945753
615,3.5685669587299585e-4,9.217853852619273e-5,0.0011036799277594582,3.604545383600405e-4,9.035347611959302e-5,0.0011042127748011232
616,3.6621136522708135e-4,1.0564784775798392e-4,0.0011075621788912645,3.6980593332094685e-4,1.0449162272575761e-4,0.0011071201213220185
617,3.761429464050148e-4,1.243965501604231e-4,0.0011124214393170787,3.793452430534195e-4,1.2234058255087448e-4,0.0011098903558401348
618,3.859895254744315e-4,1.4380364247263533e-4,0.001117496720404555,3.914183851670343e-4,1.4337079567710702e-4,0.0011138099885019874
619,4.090439628644685e-4,1.5181103127342782e-4,0.0011209905014270634,4.07343170760406e-4,1.5178567898460412e-4,0.0011174171337321112
620,4.1612405390622435e-4,1.6188929438353092e-4,0.0011210762462730965,4.156298059569058e-4,1.6148155768954268e-4,0.0011146149758781844
621,4.2649691697011166e-4,1.639355853348101e-4,0.001107864156868856,4.2659074454149727e-4,1.640184947685658e-4,0.0011007892101884968
622,4.371092314956692e-4,1.6427780207834916e-4,0.0011072397254233098,4.383699360836976e-4,1.6442623196508257e-4,0.0011047455021986462
623,4.575744809280736e-4,1.6167778096277962e-4,0.001112366350182728,4.6182914750492567e-4,1.620584931018949e-4,0.001109708053731992
624,4.834855326054236e-4,1.6027716801006616e-4,0.0011168441903044394,4.8362944964151387e-4,1.6043074652115745e-4,0.001114249036487688
625,4.951128667529295e-4,1.5872015531467431e-4,0.0011220838885979644,4.97513743973802e-4,1.588610491426657e-4,0.001119936046377039
626,5.149258847132272e-4,1.5722505168056723e-4,0.001129106387712838,5.133097531925339e-4,1.57389139247742e-4,0.0011268326170837772
627,5.216574879542958e-4,1.5570626563621233e-4,0.001136411830891834,5.217626175262409e-4,1.5584658586530133e-4,0.0011345313696188362
628,5.161119343159459e-4,1.546876364150316e-4,0.0011436906463288023,5.228357221392823e-4,1.5435883295848577e-4,0.00114193145586393
629,5.226487489805024e-4,1.5543402073732196e-4,0.0011747599140537858,5.206983317032009e-4,1.5426658772890273e-4,0.001171463384094271
630,5.320639619563944e-4,1.5615122918350569e-4,0.0012175785711600329,5.317231341044504e-4,1.545638352703245e-4,0.0012146553628652247
631,5.391350919693957e-4,1.56862437537236e-4,0.001258722100334618,5.366622003539401e-4,1.555829260553511e-4,0.0012561198562269264
632,5.38282275122564e-4,1.5746465667216625e-4,0.0012980923478261952,5.386218701074754e-4,1.5628343187868368e-4,0.0012958556074757445
633,5.524028732479902e-4,1.5809927704225028e-4,0.001335667248074613,5.526036879049345e-4,1.5697396578682581e-4,0.0013338674916445008
634,5.679435745475878e-4,1.5857005333096472e-4,0.0013786150484800797,5.674057619140989e-4,1.5756219414386738e-4,0.0013723466370299932
635,5.673365752281024e-4,1.5916262126814545e-4,0.0014218514104437489,5.682928696381211e-4,1.5820945039786026e-4,0.0014159109387864575
636,5.687342556990128e-4,1.59708074182607e-4,0.0014614008302466606,5.691921313941935e-4,1.587321120582127e-4,0.00145599913802631
637,5.736109785466249e-4,1.6027253755580246e-4,0.00149764292789889,5.746572526623959e-4,1.5968260906291048e-4,0.0014923972555082067
638,5.790559402190632e-4,1.6124644352153906e-4,0.0015263583544192628,5.772878123776076e-4,1.601352419804974e-4,0.0015243734269951002
639,5.750060413462655e-4,1.6238636705524635e-4,0.0015485417193498601,5.733961461422931e-4,1.6239589764721827e-4,0.0015459046723549858
640,5.766695443018739e-4,1.6410419822153634e-4,0.001566667548892706,5.763469965061476e-4,1.63146109564928e-4,0.0015651258815502925
641,5.798615129277854e-4,1.6741983694598385e-4,0.0015818634637970613,5.794189762756464e-4,1.6731783118064249e-4,0.0015786162159698686
642,5.840171856852471e-4,1.7026654930470928e-4,0.0015916259797574238,5.832977351620484e-4,1.7050758119360735e-4,0.0015898433209143232
643,5.860339501624003e-4,1.768820511972398e-4,0.0015966564058491274,5.844287510107867e-4,1.7638594834989486e-4,0.0015930935506030652
644,5.875479261016417e-4,1.8275765330008306e-4,0.0015960428688010185,5.860828765784065e-4,1.8367613467242357e-4,0.0015932002480479445
645,5.888439912513964e-4,1.924209950853356e-4,0.001588826939157426,5.865257024655349e-4,1.9236961613752133e-4,0.0015848660342291823
